"Date","ISO","Country","Scale","Note"
14/03/2020,"DZA","Algeria","National",
14/03/2020,"ECU","Ecuador","National",
14/03/2020,"ESP","Spain","Localized",
14/03/2020,"FRA","France","Localized",
14/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
14/03/2020,"GEO","Georgia","National",
14/03/2020,"GRC","Greece","National",
14/03/2020,"HND","Honduras","National",
14/03/2020,"HRV","Croatia","National",
14/03/2020,"HUN","Hungary","Localized",
14/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
14/03/2020,"IRL","Ireland","National",
14/03/2020,"IRN","Iran (Islamic Republic of)","National",
14/03/2020,"IRQ","Iraq","National"," Universities on term break. Closures not related to COVID-19. "
14/03/2020,"ISR","Israel","National",
14/03/2020,"ITA","Italy","National",
14/03/2020,"JAM","Jamaica","National",
14/03/2020,"JPN","Japan","National",
14/03/2020,"KEN","Kenya","National",
14/03/2020,"KHM","Cambodia","Localized",
14/03/2020,"KOR","Republic of Korea","National","Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
14/03/2020,"KWT","Kuwait","National",
14/03/2020,"LBN","Lebanon","National",
14/03/2020,"LKA","Sri Lanka","National",
14/03/2020,"LVA","Latvia","National",
14/03/2020,"MDA","Republic of Moldova","National",
14/03/2020,"MKD","North Macedonia","National",
14/03/2020,"MNG","Mongolia","National",
14/03/2020,"NOR","Norway","National",
14/03/2020,"PAK","Pakistan ","National",
14/03/2020,"PAN","Panama","National",
14/03/2020,"PHL","Philippines","Localized",
14/03/2020,"POL","Poland","National",
14/03/2020,"PRK","Democratic People's Republic of Korea","National",
14/03/2020,"PRT","Portugal","Localized",
14/03/2020,"PRY","Paraguay ","National",
14/03/2020,"PSE","Palestine","Localized",
14/03/2020,"QAT","Qatar","National",
14/03/2020,"ROU","Romania","National"," While all schools are closed, most universities are open. "
14/03/2020,"RUS","Russian Federation","Localized",
14/03/2020,"SAU","Saudi Arabia","National",
14/03/2020,"SLV","El Salvador","National",
14/03/2020,"SVK","Slovakia","Localized",
14/03/2020,"TTO","Trinidad and Tobago","National",
14/03/2020,"UKR","Ukraine","National",
14/03/2020,"URY","Uruguay","Localized",
14/03/2020,"USA","United States of America","Localized",
14/03/2020,"VNM","Viet Nam","Localized",
15/03/2020,"AFG","Afghanistan","National",
15/03/2020,"ALB","Albania","National",
15/03/2020,"ARE","United Arab Emirates","National",
15/03/2020,"ARM","Armenia","National",
15/03/2020,"AZE","Azerbaijan","National",
15/03/2020,"BEL","Belgium","National",
15/03/2020,"BHR","Bahrain","National",
15/03/2020,"BIH","Bosnia and Herzegovina","National",
15/03/2020,"BOL","Bolivia ","National","Data on enrolment in tertiary education programmes is not available."
15/03/2020,"BRA","Brazil","Localized",
15/03/2020,"BTN","Bhutan","Localized",
15/03/2020,"CHE","Switzerland","Localized",
15/03/2020,"CHN","China","National",
15/03/2020,"CHN","China, Hong Kong Special Administrative Region","National",
15/03/2020,"CHN","China, Macao Special Administrative Region","National",
15/03/2020,"CYM","Cayman Islands","National","Data on enrolment in tertiary education programmes is not available."
15/03/2020,"CYP","Cyprus","National",
15/03/2020,"CZE","Czechia","National",
15/03/2020,"DEU","Germany","Localized",
15/03/2020,"DNK","Denmark","Localized",
15/03/2020,"DZA","Algeria","National",
15/03/2020,"ECU","Ecuador","National",
15/03/2020,"ESP","Spain","Localized",
15/03/2020,"FRA","France","Localized",
15/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
15/03/2020,"GEO","Georgia","National",
15/03/2020,"GRC","Greece","National",
15/03/2020,"HND","Honduras","National",
15/03/2020,"HRV","Croatia","National",
15/03/2020,"HUN","Hungary","Localized",
15/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
15/03/2020,"IRL","Ireland","National",
15/03/2020,"IRN","Iran (Islamic Republic of)","National",
15/03/2020,"IRQ","Iraq","National"," Universities on term break. Closures not related to COVID-19. "
15/03/2020,"ISR","Israel","National",
15/03/2020,"ITA","Italy","National",
15/03/2020,"JAM","Jamaica","National",
15/03/2020,"JOR","Jordan","National",
15/03/2020,"JPN","Japan","National",
15/03/2020,"KEN","Kenya","National",
15/03/2020,"KHM","Cambodia","Localized",
15/03/2020,"KOR","Republic of Korea","National","Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
15/03/2020,"KWT","Kuwait","National",
15/03/2020,"LBN","Lebanon","National",
15/03/2020,"LKA","Sri Lanka","National",
15/03/2020,"LVA","Latvia","National",
15/03/2020,"MDA","Republic of Moldova","National",
15/03/2020,"MKD","North Macedonia","National",
15/03/2020,"MNG","Mongolia","National",
15/03/2020,"NOR","Norway","National",
15/03/2020,"PAK","Pakistan ","National",
15/03/2020,"PAN","Panama","National",
15/03/2020,"PHL","Philippines","Localized",
15/03/2020,"POL","Poland","National",
15/03/2020,"PRK","Democratic People's Republic of Korea","National",
15/03/2020,"PRT","Portugal","Localized",
15/03/2020,"PRY","Paraguay ","National",
15/03/2020,"PSE","Palestine","Localized",
15/03/2020,"QAT","Qatar","National",
15/03/2020,"ROU","Romania","National"," While all schools are closed, most universities are open. "
15/03/2020,"RUS","Russian Federation","Localized",
15/03/2020,"SAU","Saudi Arabia","National",
15/03/2020,"SLV","El Salvador","National",
15/03/2020,"SVK","Slovakia","Localized",
15/03/2020,"TTO","Trinidad and Tobago","National",
15/03/2020,"UKR","Ukraine","National",
15/03/2020,"URY","Uruguay","Localized",
15/03/2020,"USA","United States of America","Localized",
15/03/2020,"VNM","Viet Nam","Localized",
16/03/2020,"AFG","Afghanistan","National",
16/03/2020,"ALB","Albania","National",
16/03/2020,"ARE","United Arab Emirates","National",
16/03/2020,"ARG","Argentina ","National",
16/03/2020,"ARM","Armenia","National",
16/03/2020,"AUT","Austria","National",
16/03/2020,"AZE","Azerbaijan","National",
16/03/2020,"BEL","Belgium","National",
16/03/2020,"BFA","Burkina Faso ","National",
16/03/2020,"BGR","Bulgaria","National",
16/03/2020,"BHR","Bahrain","National",
16/03/2020,"BIH","Bosnia and Herzegovina","National",
16/03/2020,"BOL","Bolivia ","National","Data on enrolment in tertiary education programmes is not available."
16/03/2020,"BRA","Brazil","Localized",
16/03/2020,"BTN","Bhutan","Localized",
16/03/2020,"CAN","Canada","Localized",
16/03/2020,"CHE","Switzerland","National",
16/03/2020,"CHL","Chile","National",
16/03/2020,"CHN","China","National",
16/03/2020,"CHN","China, Hong Kong Special Administrative Region","National",
16/03/2020,"CHN","China, Macao Special Administrative Region","National",
16/03/2020,"COL","Colombia","National",
16/03/2020,"CYM","Cayman Islands","National","Data on enrolment in tertiary education programmes is not available."
16/03/2020,"CYP","Cyprus","National",
16/03/2020,"CZE","Czechia","National",
16/03/2020,"DEU","Germany","Localized",
16/03/2020,"DNK","Denmark","National",
16/03/2020,"DZA","Algeria","National",
16/03/2020,"ECU","Ecuador","National",
16/03/2020,"EGY","Egypt","National",
16/03/2020,"ESP","Spain","National",
16/03/2020,"EST","Estonia","National",
16/03/2020,"ETH","Ethiopia","National",
16/03/2020,"FRA","France","National",
16/03/2020,"FRO","Faroe Islands","National","Education will continue in the early grades in special circumstances, and for the higher grades, when considered necessary for the completion of studies."
16/03/2020,"GAB","Gabon","National",
16/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
16/03/2020,"GEO","Georgia","National",
16/03/2020,"GHA","Ghana","National",
16/03/2020,"GNQ","Equatorial Guinea ","National","Data on enrolment in tertiary education programmes is not available."
16/03/2020,"GRC","Greece","National",
16/03/2020,"GRD","Grenada","National",
16/03/2020,"GTM","Guatemala","National",
16/03/2020,"HND","Honduras","National",
16/03/2020,"HRV","Croatia","National",
16/03/2020,"HUN","Hungary","National",
16/03/2020,"IDN","Indonesia","Localized",
16/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
16/03/2020,"IRL","Ireland","National",
16/03/2020,"IRN","Iran (Islamic Republic of)","National",
16/03/2020,"IRQ","Iraq","National"," Universities on term break. Closures not related to COVID-19. "
16/03/2020,"ISL","Iceland","National","Primary education institutions can remain open, if classes of under 20 children are assured."
16/03/2020,"ISR","Israel","National",
16/03/2020,"ITA","Italy","National",
16/03/2020,"JAM","Jamaica","National",
16/03/2020,"JOR","Jordan","National",
16/03/2020,"JPN","Japan","National",
16/03/2020,"KAZ","Kazakhstan","National",
16/03/2020,"KEN","Kenya","National",
16/03/2020,"KGZ","Kyrgyzstan ","National",
16/03/2020,"KHM","Cambodia","National",
16/03/2020,"KOR","Republic of Korea","National","Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
16/03/2020,"KWT","Kuwait","National",
16/03/2020,"LBN","Lebanon","National",
16/03/2020,"LBY","Libya","National",
16/03/2020,"LCA","Saint Lucia","National",
16/03/2020,"LKA","Sri Lanka","National",
16/03/2020,"LTU","Lithuania","National",
16/03/2020,"LUX","Luxembourg","National",
16/03/2020,"LVA","Latvia","National",
16/03/2020,"MAR","Morocco","National",
16/03/2020,"MDA","Republic of Moldova","National",
16/03/2020,"MKD","North Macedonia","National",
16/03/2020,"MMR","Myanmar","Localized",
16/03/2020,"MNE","Montenegro ","National",
16/03/2020,"MNG","Mongolia","National",
16/03/2020,"MRT","Mauritania ","National",
16/03/2020,"NAM","Namibia  ","National",
16/03/2020,"NLD","Netherlands","National",
16/03/2020,"NOR","Norway","National",
16/03/2020,"PAK","Pakistan ","National",
16/03/2020,"PAN","Panama","National",
16/03/2020,"PER","Peru","National",
16/03/2020,"PHL","Philippines","Localized",
16/03/2020,"POL","Poland","National",
16/03/2020,"PRK","Democratic People's Republic of Korea","National",
16/03/2020,"PRT","Portugal","National",
16/03/2020,"PRY","Paraguay ","National",
16/03/2020,"PSE","Palestine","National",
16/03/2020,"QAT","Qatar","National",
16/03/2020,"ROU","Romania","National"," While all schools are closed, most universities are open. "
16/03/2020,"RUS","Russian Federation","Localized",
16/03/2020,"RWA","Rwanda ","National",
16/03/2020,"SAU","Saudi Arabia","National",
16/03/2020,"SDN","Sudan","National",
16/03/2020,"SEN","Senegal","National",
16/03/2020,"SLV","El Salvador","National",
16/03/2020,"SRB","Serbia","National",
16/03/2020,"SVK","Slovakia","National",
16/03/2020,"SVN","Slovenia","National",
16/03/2020,"SYC","Seychelles","Localized",
16/03/2020,"SYR","Syria Arab Republic","National",
16/03/2020,"TTO","Trinidad and Tobago","National",
16/03/2020,"TUN","Tunisia","National",
16/03/2020,"TUR","Turkey","National",
16/03/2020,"UKR","Ukraine","National",
16/03/2020,"URY","Uruguay","National",
16/03/2020,"USA","United States of America","Localized",
16/03/2020,"UZB","Uzbekistan","National",
16/03/2020,"UZB","Venezuela","National","Data on enrolment in tertiary education programmes is not available."
16/03/2020,"VCT","Saint Vincent and the Grenadines","National",
16/03/2020,"VNM","Viet Nam","Localized",
17/03/2020,"AFG","Afghanistan","National",
17/03/2020,"ALB","Albania","National",
17/03/2020,"ARE","United Arab Emirates","National",
17/03/2020,"ARG","Argentina ","National",
17/03/2020,"ARM","Armenia","National",
17/03/2020,"AUT","Austria","National",
17/03/2020,"AZE","Azerbaijan","National",
17/03/2020,"BEL","Belgium","National",
17/03/2020,"BFA","Burkina Faso ","National",
17/03/2020,"BGD","Bangladesh","National",
17/03/2020,"BGR","Bulgaria","National",
17/03/2020,"BHR","Bahrain","National",
17/03/2020,"BIH","Bosnia and Herzegovina","National",
17/03/2020,"BOL","Bolivia ","National","Data on enrolment in tertiary education programmes is not available."
17/03/2020,"BRA","Brazil","Localized",
17/03/2020,"BTN","Bhutan","Localized",
17/03/2020,"CAN","Canada","Localized",
17/03/2020,"CHE","Switzerland","National",
17/03/2020,"CHL","Chile","National",
17/03/2020,"CHN","China","National",
17/03/2020,"CHN","China, Hong Kong Special Administrative Region","National",
17/03/2020,"CHN","China, Macao Special Administrative Region","National",
17/03/2020,"CIV","Cote d'Ivoire","National",
17/03/2020,"COL","Colombia","National",
17/03/2020,"CRI","Costa Rica","National",
17/03/2020,"CYM","Cayman Islands","National","Data on enrolment in tertiary education programmes is not available."
17/03/2020,"CYP","Cyprus","National",
17/03/2020,"CZE","Czechia","National",
17/03/2020,"DEU","Germany","Localized",
17/03/2020,"DNK","Denmark","National",
17/03/2020,"DZA","Algeria","National",
17/03/2020,"ECU","Ecuador","National",
17/03/2020,"EGY","Egypt","National",
17/03/2020,"ESP","Spain","National",
17/03/2020,"EST","Estonia","National",
17/03/2020,"ETH","Ethiopia","National",
17/03/2020,"FRA","France","National",
17/03/2020,"FRO","Faroe Islands","National","Education will continue in the early grades in special circumstances, and for the higher grades, when considered necessary for the completion of studies."
17/03/2020,"GAB","Gabon","National",
17/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
17/03/2020,"GEO","Georgia","National",
17/03/2020,"GHA","Ghana","National",
17/03/2020,"GNB","Guinea-Bissau","National","Data on enrolment in tertiary education programmes is not available."
17/03/2020,"GNQ","Equatorial Guinea ","National","Data on enrolment in tertiary education programmes is not available."
17/03/2020,"GRC","Greece","National",
17/03/2020,"GRD","Grenada","National",
17/03/2020,"GTM","Guatemala","National",
17/03/2020,"HND","Honduras","National",
17/03/2020,"HRV","Croatia","National",
17/03/2020,"HUN","Hungary","National",
17/03/2020,"IDN","Indonesia","Localized",
17/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
17/03/2020,"IRL","Ireland","National",
17/03/2020,"IRN","Iran (Islamic Republic of)","National",
17/03/2020,"IRQ","Iraq","National"," Universities on term break. Closures not related to COVID-19. "
17/03/2020,"ISL","Iceland","National","Primary education institutions can remain open, if classes of under 20 children are assured."
17/03/2020,"ISR","Israel","National",
17/03/2020,"ITA","Italy","National",
17/03/2020,"JAM","Jamaica","National",
17/03/2020,"JOR","Jordan","National",
17/03/2020,"JPN","Japan","National",
17/03/2020,"KAZ","Kazakhstan","National",
17/03/2020,"KEN","Kenya","National",
17/03/2020,"KGZ","Kyrgyzstan ","National",
17/03/2020,"KHM","Cambodia","National",
17/03/2020,"KOR","Republic of Korea","National","Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
17/03/2020,"KWT","Kuwait","National",
17/03/2020,"LBN","Lebanon","National",
17/03/2020,"LBY","Libya","National",
17/03/2020,"LCA","Saint Lucia","National",
17/03/2020,"LKA","Sri Lanka","National",
17/03/2020,"LTU","Lithuania","National",
17/03/2020,"LUX","Luxembourg","National",
17/03/2020,"LVA","Latvia","National",
17/03/2020,"MAR","Morocco","National",
17/03/2020,"MDA","Republic of Moldova","National",
17/03/2020,"MKD","North Macedonia","National",
17/03/2020,"MMR","Myanmar","Localized",
17/03/2020,"MNE","Montenegro ","National",
17/03/2020,"MNG","Mongolia","National",
17/03/2020,"MRT","Mauritania ","National",
17/03/2020,"NAM","Namibia  ","National",
17/03/2020,"NLD","Netherlands","National",
17/03/2020,"NOR","Norway","National",
17/03/2020,"PAK","Pakistan ","National",
17/03/2020,"PAN","Panama","National",
17/03/2020,"PER","Peru","National",
17/03/2020,"PHL","Philippines","Localized",
17/03/2020,"POL","Poland","National",
17/03/2020,"PRK","Democratic People's Republic of Korea","National",
17/03/2020,"PRT","Portugal","National",
17/03/2020,"PRY","Paraguay ","National",
17/03/2020,"PSE","Palestine","National",
17/03/2020,"QAT","Qatar","National",
17/03/2020,"ROU","Romania","National"," While all schools are closed, most universities are open. "
17/03/2020,"RUS","Russian Federation","Localized",
17/03/2020,"RWA","Rwanda ","National",
17/03/2020,"SAU","Saudi Arabia","National",
17/03/2020,"SDN","Sudan","National",
17/03/2020,"SEN","Senegal","National",
17/03/2020,"SLV","El Salvador","National",
17/03/2020,"SRB","Serbia","National",
17/03/2020,"SVK","Slovakia","National",
17/03/2020,"SVN","Slovenia","National",
17/03/2020,"SYC","Seychelles","Localized",
17/03/2020,"SYR","Syria Arab Republic","National",
17/03/2020,"TTO","Trinidad and Tobago","National",
17/03/2020,"TUN","Tunisia","National",
17/03/2020,"TUR","Turkey","National",
17/03/2020,"UKR","Ukraine","National",
17/03/2020,"URY","Uruguay","National",
17/03/2020,"USA","United States of America","Localized",
17/03/2020,"UZB","Uzbekistan","National",
17/03/2020,"VCT","Saint Vincent and the Grenadines","National",
17/03/2020,"VEN","Venezuela","National","Data on enrolment in tertiary education programmes is not available."
17/03/2020,"VNM","Viet Nam","Localized",
18/03/2020,"AFG","Afghanistan","National",
18/03/2020,"ALB","Albania","National",
18/03/2020,"ARE","United Arab Emirates","National",
18/03/2020,"ARG","Argentina ","National",
18/03/2020,"ARM","Armenia","National",
18/03/2020,"AUT","Austria","National",
18/03/2020,"AZE","Azerbaijan","National",
18/03/2020,"BEL","Belgium","National",
18/03/2020,"BFA","Burkina Faso ","National",
18/03/2020,"BGD","Bangladesh","National",
18/03/2020,"BGR","Bulgaria","National",
18/03/2020,"BHR","Bahrain","National",
18/03/2020,"BIH","Bosnia and Herzegovina","National",
18/03/2020,"BOL","Bolivia ","National","Data on enrolment in tertiary education programmes is not available."
18/03/2020,"BRA","Brazil","Localized",
18/03/2020,"BTN","Bhutan","Localized",
18/03/2020,"CAN","Canada","Localized",
18/03/2020,"CHE","Switzerland","National",
18/03/2020,"CHL","Chile","National",
18/03/2020,"CHN","China","National",
18/03/2020,"CHN","China, Hong Kong Special Administrative Region","National",
18/03/2020,"CHN","China, Macao Special Administrative Region","National",
18/03/2020,"CIV","Cote d'Ivoire","National",
18/03/2020,"CMR","Cameroon","National",
18/03/2020,"COL","Colombia","National",
18/03/2020,"CRI","Costa Rica","National",
18/03/2020,"CYM","Cayman Islands","National","Data on enrolment in tertiary education programmes is not available."
18/03/2020,"CYP","Cyprus","National",
18/03/2020,"CZE","Czechia","National",
18/03/2020,"DEU","Germany","National",
18/03/2020,"DNK","Denmark","National",
18/03/2020,"DZA","Algeria","National",
18/03/2020,"ECU","Ecuador","National",
18/03/2020,"EGY","Egypt","National",
18/03/2020,"ESP","Spain","National",
18/03/2020,"EST","Estonia","National",
18/03/2020,"ETH","Ethiopia","National",
18/03/2020,"FIN","Finland","National",
18/03/2020,"FRA","France","National",
18/03/2020,"FRO","Faroe Islands","National","Education will continue in the early grades in special circumstances, and for the higher grades, when considered necessary for the completion of studies."
18/03/2020,"GAB","Gabon","National",
18/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
18/03/2020,"GEO","Georgia","National",
18/03/2020,"GHA","Ghana","National",
18/03/2020,"GMB","Gambia","National",
18/03/2020,"GNB","Guinea-Bissau","National","Data on enrolment in tertiary education programmes is not available."
18/03/2020,"GNQ","Equatorial Guinea ","National","Data on enrolment in tertiary education programmes is not available."
18/03/2020,"GRC","Greece","National",
18/03/2020,"GRD","Grenada","National",
18/03/2020,"GTM","Guatemala","National",
18/03/2020,"HND","Honduras","National",
18/03/2020,"HRV","Croatia","National",
18/03/2020,"HUN","Hungary","National",
18/03/2020,"IDN","Indonesia","Localized",
18/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
18/03/2020,"IRL","Ireland","National",
18/03/2020,"IRN","Iran (Islamic Republic of)","National",
18/03/2020,"IRQ","Iraq","National"," Universities on term break. Closures not related to COVID-19. "
18/03/2020,"ISL","Iceland","National","Primary education institutions can remain open, if classes of under 20 children are assured."
18/03/2020,"ISR","Israel","National",
18/03/2020,"ITA","Italy","National",
18/03/2020,"JAM","Jamaica","National",
18/03/2020,"JOR","Jordan","National",
18/03/2020,"JPN","Japan","National",
18/03/2020,"KAZ","Kazakhstan","National",
18/03/2020,"KEN","Kenya","National",
18/03/2020,"KGZ","Kyrgyzstan ","National",
18/03/2020,"KHM","Cambodia","National",
18/03/2020,"KOR","Republic of Korea","National","Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
18/03/2020,"KWT","Kuwait","National",
18/03/2020,"LBN","Lebanon","National",
18/03/2020,"LBY","Libya","National",
18/03/2020,"LCA","Saint Lucia","National",
18/03/2020,"LKA","Sri Lanka","National",
18/03/2020,"LTU","Lithuania","National",
18/03/2020,"LUX","Luxembourg","National",
18/03/2020,"LVA","Latvia","National",
18/03/2020,"MAR","Morocco","National",
18/03/2020,"MDA","Republic of Moldova","National",
18/03/2020,"MKD","North Macedonia","National",
18/03/2020,"MMR","Myanmar","Localized",
18/03/2020,"MNE","Montenegro ","National",
18/03/2020,"MNG","Mongolia","National",
18/03/2020,"MRT","Mauritania ","National",
18/03/2020,"MYS","Malaysia","National",
18/03/2020,"NAM","Namibia  ","National",
18/03/2020,"NLD","Netherlands","National",
18/03/2020,"NOR","Norway","National",
18/03/2020,"NPL","Nepal","National",
18/03/2020,"PAK","Pakistan ","National",
18/03/2020,"PAN","Panama","National",
18/03/2020,"PER","Peru","National",
18/03/2020,"PHL","Philippines","Localized",
18/03/2020,"POL","Poland","National",
18/03/2020,"PRK","Democratic People's Republic of Korea","National",
18/03/2020,"PRT","Portugal","National",
18/03/2020,"PRY","Paraguay ","National",
18/03/2020,"PSE","Palestine","National",
18/03/2020,"QAT","Qatar","National",
18/03/2020,"ROU","Romania","National"," While all schools are closed, most universities are open. "
18/03/2020,"RUS","Russian Federation","Localized",
18/03/2020,"RWA","Rwanda ","National",
18/03/2020,"SAU","Saudi Arabia","National",
18/03/2020,"SDN","Sudan","National",
18/03/2020,"SEN","Senegal","National",
18/03/2020,"SLV","El Salvador","National",
18/03/2020,"SOM","Somalia","National","Data on enrolment in tertiary education programmes is not available."
18/03/2020,"SRB","Serbia","National",
18/03/2020,"SVK","Slovakia","National",
18/03/2020,"SVN","Slovenia","National",
18/03/2020,"SWE","Sweden","National","National closure of all upper secondary educational institutions and universities."
18/03/2020,"SYC","Seychelles","Localized",
18/03/2020,"SYR","Syria Arab Republic","National",
18/03/2020,"THA","Thailand","National",
18/03/2020,"TTO","Trinidad and Tobago","National",
18/03/2020,"TUN","Tunisia","National",
18/03/2020,"TUR","Turkey","National",
18/03/2020,"UKR","Ukraine","National",
18/03/2020,"URY","Uruguay","National",
18/03/2020,"USA","United States of America","Localized",
18/03/2020,"UZB","Uzbekistan","National",
18/03/2020,"VCT","Saint Vincent and the Grenadines","National",
18/03/2020,"VEN","Venezuela","National","Data on enrolment in tertiary education programmes is not available."
18/03/2020,"VNM","Viet Nam","Localized",
18/03/2020,"ZAF","South Africa","National",
19/03/2020,"AFG","Afghanistan","National",
19/03/2020,"ALB","Albania","National",
19/03/2020,"ARE","United Arab Emirates","National",
19/03/2020,"ARG","Argentina ","National",
19/03/2020,"ARM","Armenia","National",
19/03/2020,"AUT","Austria","National",
19/03/2020,"AZE","Azerbaijan","National",
19/03/2020,"BEL","Belgium","National",
19/03/2020,"BFA","Burkina Faso ","National",
19/03/2020,"BGD","Bangladesh","National",
19/03/2020,"BGR","Bulgaria","National",
19/03/2020,"BHR","Bahrain","National",
19/03/2020,"BIH","Bosnia and Herzegovina","National",
19/03/2020,"BOL","Bolivia ","National","Data on enrolment in tertiary education programmes is not available."
19/03/2020,"BRA","Brazil","Localized",
19/03/2020,"BTN","Bhutan","Localized",
19/03/2020,"CAN","Canada","Localized",
19/03/2020,"CHE","Switzerland","National",
19/03/2020,"CHL","Chile","National",
19/03/2020,"CHN","China","National",
19/03/2020,"CHN","China, Hong Kong Special Administrative Region","National",
19/03/2020,"CHN","China, Macao Special Administrative Region","National",
19/03/2020,"CIV","Cote d'Ivoire","National",
19/03/2020,"CMR","Cameroon","National",
19/03/2020,"COL","Colombia","National",
19/03/2020,"CRI","Costa Rica","National",
19/03/2020,"CYM","Cayman Islands","National","Data on enrolment in tertiary education programmes is not available."
19/03/2020,"CYP","Cyprus","National",
19/03/2020,"CZE","Czechia","National",
19/03/2020,"DEU","Germany","National",
19/03/2020,"DNK","Denmark","National",
19/03/2020,"DZA","Algeria","National",
19/03/2020,"ECU","Ecuador","National",
19/03/2020,"EGY","Egypt","National",
19/03/2020,"ESP","Spain","National",
19/03/2020,"EST","Estonia","National",
19/03/2020,"ETH","Ethiopia","National",
19/03/2020,"FIN","Finland","National",
19/03/2020,"FJI","Fiji","Localized",
19/03/2020,"FRA","France","National",
19/03/2020,"FRO","Faroe Islands","National","Education will continue in the early grades in special circumstances, and for the higher grades, when considered necessary for the completion of studies."
19/03/2020,"GAB","Gabon","National",
19/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
19/03/2020,"GEO","Georgia","National",
19/03/2020,"GHA","Ghana","National",
19/03/2020,"GMB","Gambia","National",
19/03/2020,"GNB","Guinea-Bissau","National","Data on enrolment in tertiary education programmes is not available."
19/03/2020,"GNQ","Equatorial Guinea ","National","Data on enrolment in tertiary education programmes is not available."
19/03/2020,"GRC","Greece","National",
19/03/2020,"GRD","Grenada","National",
19/03/2020,"GRL","Greenland","Localized",
19/03/2020,"GTM","Guatemala","National",
19/03/2020,"HND","Honduras","National",
19/03/2020,"HRV","Croatia","National",
19/03/2020,"HUN","Hungary","National",
19/03/2020,"IDN","Indonesia","Localized",
19/03/2020,"IND","India","Localized","While no national level announcement has been made, 27 of 28 states and 5 of 8 union territories have announced school closures with some variations in school levels."
19/03/2020,"IRL","Ireland","National",
19/03/2020,"IRN","Iran (Islamic Republic of)","National",
19/03/2020,"IRQ","Iraq","National"," Universities on term break. Closures not related to COVID-19. "
19/03/2020,"ISL","Iceland","National","Primary education institutions can remain open, if classes of under 20 children are assured."
19/03/2020,"ISR","Israel","National",
19/03/2020,"ITA","Italy","National",
19/03/2020,"JAM","Jamaica","National",
19/03/2020,"JOR","Jordan","National",
19/03/2020,"JPN","Japan","National",
19/03/2020,"KAZ","Kazakhstan","National",
19/03/2020,"KEN","Kenya","National",
19/03/2020,"KGZ","Kyrgyzstan ","National",
19/03/2020,"KHM","Cambodia","National",
19/03/2020,"KOR","Republic of Korea","National","Following an initial postponement of 2 weeks, universities have started the academic year. Group and face-to-face classes are strongly discouraged, and universities are offering online classes."
19/03/2020,"KWT","Kuwait","National",
19/03/2020,"LAO","Lao PDR","National",
19/03/2020,"LBN","Lebanon","National",
19/03/2020,"LBY","Libya","National",
19/03/2020,"LCA","Saint Lucia","National",
19/03/2020,"LKA","Sri Lanka","National",
19/03/2020,"LSO","Lesotho","National",
19/03/2020,"LTU","Lithuania","National",
19/03/2020,"LUX","Luxembourg","National",
19/03/2020,"LVA","Latvia","National",
19/03/2020,"MAR","Morocco","National",
19/03/2020,"MDA","Republic of Moldova","National",
19/03/2020,"MKD","North Macedonia","National",
19/03/2020,"MLI","Mali","National",
19/03/2020,"MMR","Myanmar","Localized",
19/03/2020,"MNE","Montenegro ","National",
19/03/2020,"MNG","Mongolia","National",
19/03/2020,"MRT","Mauritania ","National",
19/03/2020,"MUS","Mauritius","National",
19/03/2020,"MYS","Malaysia","National",
19/03/2020,"NAM","Namibia  ","National",
19/03/2020,"NLD","Netherlands","National",
19/03/2020,"NOR","Norway","National",
19/03/2020,"NPL","Nepal","National",
19/03/2020,"PAK","Pakistan ","National",
19/03/2020,"PAN","Panama","National",
19/03/2020,"PER","Peru","National",
19/03/2020,"PHL","Philippines","Localized",
19/03/2020,"POL","Poland","National",
19/03/2020,"PRK","Democratic People's Republic of Korea","National",
19/03/2020,"PRT","Portugal","National",
19/03/2020,"PRY","Paraguay ","National",
19/03/2020,"PSE","Palestine","National",
19/03/2020,"QAT","Qatar","National",
